id,관광지,군구,size
s1,성산일출봉,서귀포시,35
s2,천지연폭포,서귀포시,23
s3,중문대포해안주상절리대,서귀포시,21
s4,한화아쿠아플라넷제주,서귀포시,17
s5,정방폭포,서귀포시,14
s6,한라산국립공원,제주시,14
s7,민속자연사박물관,제주시,12
s8,비자림,제주시,12
s9,만장굴관광지,제주시,11
s10,천제연폭포,서귀포시,11
s11,절물자연휴양림,제주시,11
s12,산방산,서귀포시,9
s13,마라해양도립공원,서귀포시,8
s14,일출랜드,서귀포시,7
s15,국립제주박물관,제주시,7
s16,이중섭미술관,서귀포시,6
s17,제주돌문화공원,제주시,6
s18,서귀포도립해양공원,서귀포시,6
s19,제주목관아지,제주시,5
s20,해녀 박물관,제주시,4
s21,제주항일기념관,제주시,4
s22,서귀포자연휴양림,서귀포시,3
s23,도립미술관,제주시,3
s24,제주별빛누리공원,제주시,2
s25,감귤박물관,서귀포시,2
s26,항목유적지,제주시,2
s27,제주추사관,서귀포시,2
s28,서복전시관,서귀포시,2
s29,삼양선사유적지,제주시,1
s30,기당미술관,서귀포시,1
